County Code,Perm ID,Facility Name,City,Building Nbr,Building Name,Building Status,SPC Rating ,2007 Hazus Score (%),2010 Hazus Score (%),OSHPD NPC Rating,Latitude,Longitude,Count
01 - Alameda,11210,Alameda Hospital,Alameda,BLD-01278,Original Hospital,In Service,1,,27.63,1,37.7626572,-122.2538986,1
01 - Alameda,11210,Alameda Hospital,Alameda,BLD-01279,Stephens Wing,In Service,1,,10.25,1,37.7626572,-122.2538986,1
01 - Alameda,11210,Alameda Hospital,Alameda,BLD-01280,West Wing,In Service,2,,,1,37.7626572,-122.2538986,1
01 - Alameda,11210,Alameda Hospital,Alameda,BLD-01281,South Wing,In Service,3s,,,1,37.7626572,-122.2538986,1
01 - Alameda,11210,Alameda Hospital,Alameda,BLD-01282,Radiology Addition,In Service,5s,,,1,37.7626572,-122.2538986,1
01 - Alameda,11210,Alameda Hospital,Alameda,BLD-01283,Medical Gas Storage,In Service,3s,,,1,37.7626572,-122.2538986,1
01 - Alameda,11210,Alameda Hospital,Alameda,BLD-02630,Compactor Shed,In Service,4,,,2,37.7626572,-122.2538986,1
01 - Alameda,11210,Alameda Hospital,Alameda,BLD-03120,Emergency Room Relocation,In Service,3s,,,1,37.7626572,-122.2538986,1
01 - Alameda,11210,Alameda Hospital,Alameda,BLD-05597,LOX Tank,Under Construction,N/A,,,NYA,37.7626572,-122.2538986,1
01 - Alameda,11322,Alta Bates Summit Medical Center,Oakland,BLD-00695,Ehman Building,In Service,2,,1.17,2,37.8208094,-122.2630806,1
01 - Alameda,11322,Alta Bates Summit Medical Center,Oakland,BLD-00696,North Wing,In Service,2,,,2,37.8208094,-122.2630806,1
01 - Alameda,11322,Alta Bates Summit Medical Center,Oakland,BLD-00698,East Wing,In Service,2,,0.71,2,37.8208094,-122.2630806,1
01 - Alameda,11322,Alta Bates Summit Medical Center,Oakland,BLD-00699,Original West Wing,In Service,1,,26.18,2,37.8208094,-122.2630806,1
01 - Alameda,11322,Alta Bates Summit Medical Center,Oakland,BLD-00700,West Service Wing - Building 1,In Service,1,,16.85,2,37.8208094,-122.2630806,1
01 - Alameda,11322,Alta Bates Summit Medical Center,Oakland,BLD-00701,Physio-Therapy Building,In Service,2,,,2,37.8208094,-122.2630806,1
01 - Alameda,11322,Alta Bates Summit Medical Center,Oakland,BLD-00702,Original Emergency Wing,In Service,2,,,2,37.8208094,-122.2630806,1
01 - Alameda,11322,Alta Bates Summit Medical Center,Oakland,BLD-00703,Special Procedures Addition,In Service,3,,,2,37.8208094,-122.2630806,1
01 - Alameda,11322,Alta Bates Summit Medical Center,Oakland,BLD-00704,Emergency Department Expansion,In Service,5s,,,2,37.8208094,-122.2630806,1
01 - Alameda,11322,Alta Bates Summit Medical Center,Oakland,BLD-00705,Cogeneration Building,In Service,4s,,,2,37.8208094,-122.2630806,1
01 - Alameda,11322,Alta Bates Summit Medical Center,Oakland,BLD-00706,Emergency Generator Building,In Service,4,,,2,37.8208094,-122.2630806,1
01 - Alameda,11322,Alta Bates Summit Medical Center,Oakland,BLD-00707,Transformer Building,In Service,2,,0.37,2,37.8208094,-122.2630806,1
